epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2804.97,1.2122,1.09288,1.31995,0.81879,0.67641,0.77779,0.48564,1.26779,0.95778,1.38969,0.0011882,0.0011882,0.0011882
43,2872.54,1.21659,1.09623,1.32626,0.80103,0.70563,0.78478,0.48976,1.24217,0.92962,1.38321,0.0011684,0.0011684,0.0011684
44,2940.29,1.21128,1.0808,1.31685,0.81887,0.69005,0.78243,0.49063,1.24179,0.9421,1.38966,0.0011486,0.0011486,0.0011486
45,3007.52,1.18967,1.07134,1.30758,0.79622,0.70388,0.78807,0.49761,1.22955,0.9464,1.35882,0.0011288,0.0011288,0.0011288
46,3074.22,1.19802,1.06814,1.30976,0.79302,0.70257,0.7858,0.49096,1.22759,0.94422,1.36579,0.001109,0.001109,0.001109
47,3141.14,1.18998,1.05551,1.31462,0.81615,0.69694,0.7922,0.50616,1.22983,0.93013,1.35098,0.0010892,0.0010892,0.0010892
48,3207.99,1.19327,1.04505,1.30048,0.82988,0.69353,0.79475,0.50628,1.2002,0.9101,1.34618,0.0010694,0.0010694,0.0010694
49,3274.58,1.18163,1.04337,1.29702,0.82017,0.70015,0.79048,0.50649,1.19729,0.91196,1.33639,0.0010496,0.0010496,0.0010496
50,3341.21,1.17758,1.03985,1.29204,0.7902,0.71522,0.78648,0.50361,1.20103,0.9084,1.33342,0.0010298,0.0010298,0.0010298
51,3407.79,1.17326,1.01963,1.29154,0.82067,0.70848,0.79634,0.51086,1.1921,0.89069,1.33454,0.00101,0.00101,0.00101
52,3474.23,1.16268,1.01934,1.28502,0.83337,0.67398,0.77597,0.49531,1.21604,0.92631,1.35935,0.0009902,0.0009902,0.0009902
53,3540.98,1.15798,1.0109,1.28731,0.80527,0.72263,0.7994,0.50585,1.22961,0.88255,1.37139,0.0009704,0.0009704,0.0009704
54,3607.48,1.15165,0.99669,1.27884,0.83324,0.70781,0.79864,0.50649,1.21978,0.89596,1.36748,0.0009506,0.0009506,0.0009506
55,3674.09,1.14009,1.00068,1.27516,0.8164,0.71915,0.80219,0.51638,1.20087,0.88223,1.35374,0.0009308,0.0009308,0.0009308
56,3740.72,1.1386,0.98039,1.26269,0.82279,0.71075,0.79899,0.50652,1.20202,0.89605,1.35948,0.000911,0.000911,0.000911
57,3807.48,1.13268,0.9797,1.27017,0.81062,0.71653,0.79864,0.51368,1.19987,0.88959,1.35078,0.0008912,0.0008912,0.0008912
58,3874.32,1.13629,0.97437,1.266,0.81784,0.72176,0.8048,0.51903,1.17493,0.87668,1.32791,0.0008714,0.0008714,0.0008714
