epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2591.8,1.4155,1.23779,1.39075,0.7093,0.58646,0.6571,0.38142,1.40751,1.11936,1.37829,0.0011882,0.0011882,0.0011882
43,2647.82,1.40242,1.22318,1.38547,0.70819,0.59749,0.66162,0.37898,1.41631,1.11525,1.38703,0.0011684,0.0011684,0.0011684
44,2703.7,1.4142,1.23643,1.3861,0.70122,0.59983,0.66192,0.38402,1.39797,1.10653,1.3776,0.0011486,0.0011486,0.0011486
45,2759.82,1.4019,1.21333,1.38144,0.71022,0.59292,0.6617,0.38497,1.38879,1.12248,1.3694,0.0011288,0.0011288,0.0011288
46,2816.06,1.40075,1.22587,1.38218,0.70493,0.60381,0.66575,0.38842,1.38672,1.11326,1.36696,0.001109,0.001109,0.001109
47,2872.57,1.40626,1.21338,1.37437,0.72848,0.60439,0.67949,0.39851,1.38089,1.07203,1.36532,0.0010892,0.0010892,0.0010892
48,2928.5,1.39783,1.20349,1.37447,0.71069,0.61064,0.67893,0.39976,1.38055,1.06082,1.36169,0.0010694,0.0010694,0.0010694
49,2984.66,1.3986,1.19783,1.36756,0.72196,0.61266,0.68297,0.40028,1.35988,1.06518,1.34319,0.0010496,0.0010496,0.0010496
50,3040.72,1.39189,1.17537,1.35633,0.70923,0.61925,0.68833,0.40333,1.36802,1.0488,1.34721,0.0010298,0.0010298,0.0010298
51,3096.96,1.38735,1.18512,1.37,0.72669,0.60908,0.68698,0.40354,1.3667,1.05623,1.35098,0.00101,0.00101,0.00101
52,3152.87,1.38958,1.17916,1.36291,0.72122,0.61187,0.68604,0.40753,1.35933,1.04917,1.34429,0.0009902,0.0009902,0.0009902
53,3209.27,1.3923,1.17659,1.35834,0.72541,0.61993,0.69279,0.41347,1.34931,1.03615,1.33034,0.0009704,0.0009704,0.0009704
54,3265.57,1.37176,1.16191,1.35297,0.73322,0.60808,0.68652,0.40956,1.35055,1.0494,1.33172,0.0009506,0.0009506,0.0009506
55,3322,1.3519,1.15067,1.3479,0.73456,0.6253,0.70232,0.41842,1.34635,1.01568,1.33249,0.0009308,0.0009308,0.0009308
56,3378.8,1.36207,1.15118,1.34687,0.72966,0.63222,0.70361,0.41723,1.35467,1.01383,1.33102,0.000911,0.000911,0.000911
57,3434.93,1.37264,1.14953,1.34958,0.73959,0.62345,0.6985,0.41877,1.34117,1.02087,1.3315,0.0008912,0.0008912,0.0008912
58,3490.66,1.36098,1.13386,1.34254,0.73593,0.63138,0.70641,0.42547,1.33943,0.99462,1.32331,0.0008714,0.0008714,0.0008714
59,3546.73,1.34448,1.12194,1.33869,0.74884,0.62957,0.71353,0.43142,1.3282,0.98722,1.32011,0.0008516,0.0008516,0.0008516
60,3602.38,1.3558,1.11932,1.33979,0.74169,0.64693,0.717,0.43433,1.32609,0.98105,1.31051,0.0008318,0.0008318,0.0008318
61,3658.68,1.34527,1.12218,1.3384,0.74924,0.64096,0.71655,0.43331,1.32479,0.97705,1.31289,0.000812,0.000812,0.000812
62,3714.69,1.34961,1.10935,1.33823,0.75313,0.63099,0.71708,0.43441,1.31836,0.96816,1.30781,0.0007922,0.0007922,0.0007922
63,3770.46,1.32841,1.10309,1.32309,0.76655,0.63413,0.7207,0.44007,1.3083,0.96653,1.30163,0.0007724,0.0007724,0.0007724
64,3826.15,1.33563,1.10037,1.32935,0.76524,0.63596,0.72313,0.44072,1.2989,0.95343,1.2961,0.0007526,0.0007526,0.0007526
65,3882.33,1.33317,1.09206,1.32429,0.76863,0.64323,0.72443,0.4435,1.30475,0.94988,1.29768,0.0007328,0.0007328,0.0007328
66,3937.71,1.32633,1.07506,1.31809,0.75986,0.64622,0.72875,0.44588,1.30195,0.94458,1.30007,0.000713,0.000713,0.000713
67,3993.65,1.32877,1.08274,1.323,0.77163,0.65234,0.73589,0.45186,1.29248,0.93652,1.293,0.0006932,0.0006932,0.0006932
68,4049.69,1.34091,1.07961,1.32018,0.76247,0.65459,0.73371,0.45123,1.29429,0.9309,1.2911,0.0006734,0.0006734,0.0006734
69,4105.85,1.31641,1.07647,1.31148,0.77371,0.65006,0.73723,0.45363,1.28536,0.92921,1.2855,0.0006536,0.0006536,0.0006536
70,4161.97,1.30667,1.04853,1.3054,0.769,0.65897,0.73889,0.45442,1.28378,0.92068,1.2836,0.0006338,0.0006338,0.0006338
71,4217.74,1.30357,1.05145,1.30212,0.77457,0.65319,0.73938,0.45848,1.27494,0.91326,1.2802,0.000614,0.000614,0.000614
72,4273.33,1.29798,1.04126,1.30242,0.75859,0.66344,0.74018,0.45729,1.27951,0.91919,1.28088,0.0005942,0.0005942,0.0005942
73,4329.16,1.29686,1.04453,1.29584,0.77903,0.65925,0.7428,0.46216,1.27374,0.91432,1.2785,0.0005744,0.0005744,0.0005744
74,4385.31,1.29724,1.03279,1.30096,0.78546,0.65376,0.74523,0.46624,1.26799,0.90151,1.27697,0.0005546,0.0005546,0.0005546
75,4446.51,1.29203,1.03739,1.29986,0.77357,0.67056,0.74994,0.467,1.26607,0.89218,1.27244,0.0005348,0.0005348,0.0005348
76,4502.72,1.30207,1.02281,1.29555,0.76487,0.66629,0.74781,0.46593,1.26269,0.89407,1.26868,0.000515,0.000515,0.000515
77,4558.73,1.2904,1.02094,1.29191,0.78802,0.65333,0.74915,0.46954,1.25826,0.89361,1.26663,0.0004952,0.0004952,0.0004952
78,4618.62,1.28011,1.01299,1.28559,0.78283,0.6697,0.75389,0.472,1.25855,0.88717,1.26715,0.0004754,0.0004754,0.0004754
79,4673.92,1.27926,1.01016,1.28559,0.7859,0.66558,0.75321,0.46995,1.25007,0.89071,1.26121,0.0004556,0.0004556,0.0004556
